code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
9310155004510,Delites Honey Soy Chicken,Fantastic,"snacks, salty-snacks, appetizers, biscuits-and-crackers, crackers-appetizers",australia,Unknown,Unknown,Unknown,d,4.0,Unknown,"rice flour (53%), maize starch, seasoning (sugar, glucose, salt, natural flavours, maltodextrin, soy sauce powder, tapioca dextrin, onion powder, chicken powder, dextrin, corn starch, chicken fat, caramelised sugar, gelling agent (e508), anticaking agent (e551), colours (e150a, e160c, e141), spice, natural flavours, emulsifier (e433), thickener (e414), vegetable oil (antioxidant (e320)), potato starch, potato flakes (preservative (e222), tapioca starch, bamboo fibre, sugar, salt. contains: soy, sulphites. may contain traces of: milk, sesame. 216mg",Unknown,Unknown
5000112625240,fanta exotic,Fanta,Unknown,italy,it:bottiglia-pet,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000045317,Fanta,Fanta,Unknown,united-kingdom,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8005525037434,CIPOLLA IN POLVERE,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8008660890025,Confiture extra d'Abricot,"FANTASY, Fantasy, Menz & Gasser","plant-based-foods-and-beverages, plant-based-foods, fruits-and-vegetables-based-foods, breakfasts, spreads, fruits-based-foods, plant-based-spreads, sweet-spreads, fruit-and-vegetable-preserves, jams, apricot-jams",italy,Unknown,Unknown,Unknown,d,4.0,Unknown,"abricot, sucre, sirop de glucose-fructose, gélifiant : pectine, Correcteur d'acidité : acide citrique et citrate de calcium.",Unknown,Unknown
8015167005197,Vaschetta crema,Gusto e fantasia,"desserts, frozen-foods, frozen-desserts",italy,Unknown,Unknown,Unknown,d,Unknown,Unknown,Unknown,Unknown,Unknown
9310155001199,Rice Crackers Sweet Chilli & Sour Cream Flavour,Fantastic,"snacks, salty-snacks, appetizers, biscuits-and-crackers, crackers-appetizers",australia,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"crackers are an irresistible snack be enjoyed anytime, anywhere. eir own, or with a tasty dip or topping u can rely on fantastic rice cracker or gredhs: rict i1our (84%), seasoning (sugar, salt. sour cream powder, flavour, spices, flavour enhancers (621,635), maltodextrin, food acids (262, 330), onion powder, garlic powder, yeast extract, anticaking agent (551)), sunflower oil (antioxidant (320)), sugar, salt. contains milk. may contain traces of soy and sesame.",Unknown,Unknown
8033866611099,"Fantasia gamberi, vongole e zucchine",Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8054633400036,Fantasie di cereali,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000151087,Fanta Zero Orange 8pk,Coca cola,"beverages-and-beverages-preparations, beverages, artificially-sweetened-beverages, diet-beverages",united-kingdom,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"Carbonated Water, Orange Juice From Concentrate (42), Acids Citric Acid. Malic Acid). Sweeteners Cyclamates, Acesulfame-K. Sucralose, Stevial Glycosides From Stevia. Nechesperidine DC). Natural Orange Favouring With Other Natural Flavourings, Preservative (Potassium Sorbate). Antioxidant (Ascorbic Acid), Stabiliser (Guar Gum). Colour (Carotenes).",Unknown,Unknown
8032154100949,Cioco fantasy,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9310155010948,lightly salted sweet potato chips,Fantastic,Unknown,australia,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,2.8,310.8
5449000054814,Fanta,Fanta,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3481291017040,TRUFFES FANTAISIE,Mathez,"snacks, sweet-snacks, cocoa-and-its-products, confectioneries, chocolate-candies, bonbons, chocolate-truffles",italy,Unknown,Unknown,Unknown,e,Unknown,Unknown,Unknown,Unknown,Unknown
0089087157562,Tropical Fantasy Grape,Unknown,food,united-states,Unknown,Unknown,Unknown,b,Unknown,Unknown,Unknown,5.8333333333333,20.833333333333
8005525036130,Rosmarino,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8002590073084,Fantasie golose,Sapori,"snacks, sweet-snacks, biscuits-and-cakes, confectioneries, pastries",italy,Unknown,Unknown,Unknown,e,Unknown,Unknown,Unknown,Unknown,Unknown
5449000302601,Fanta Lemon,Fanta,Unknown,united-kingdom,pet-bottle,Unknown,Unknown,unknown,Unknown,unknown,Unknown,Unknown,Unknown
8005525037267,Prezzemolo,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8002590068196,Fantasie classiche,Sapori,"snacks, sweet-snacks, biscuits-and-cakes, pastries",italy,Unknown,Unknown,Unknown,e,Unknown,Unknown,Unknown,Unknown,Unknown
49333336,Fanta,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,13.0,54.0
5449000152961,"Fanta struguri 2,5 L",Unknown,Unknown,romania,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,Unknown,Unknown
8000965091619,Fantasie,Consilia,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
